9413499
Day,Computer Science,Biology,Astrophysics,Visual Arts,Marketing
173,0.236,0.179,0.147,0.258,0.242,
174,0.252,0.163,0.162,0.246,0.242,
175,0.252,0.172,0.15,0.253,0.243,
176,0.255,0.17,0.155,0.262,0.235,
177,0.241,0.152,0.159,0.285,0.245,
178,0.243,0.152,0.157,0.295,0.243,
179,0.242,0.151,0.16,0.308,0.243,
180,0.244,0.147,0.159,0.311,0.25,
181,0.22,0.154,0.157,0.314,0.268,
182,0.206,0.154,0.154,0.335,0.268,
183,0.222,0.136,0.151,0.329,0.282,
184,0.232,0.127,0.151,0.336,0.282,
185,0.253,0.114,0.148,0.339,0.28,
186,0.252,0.116,0.145,0.341,0.287,
187,0.254,0.118,0.143,0.338,0.297,
188,0.236,0.126,0.151,0.355,0.289,
189,0.253,0.11,0.147,0.358,0.291,
190,0.277,0.093,0.157,0.343,0.293,
191,0.281,0.095,0.154,0.348,0.293,
192,0.285,0.092,0.148,0.353,0.296,
193,0.307,0.081,0.139,0.358,0.296,
194,0.285,0.077,0.139,0.384,0.3,
195,0.302,0.057,0.136,0.388,0.306,
196,0.3,0.055,0.132,0.384,0.321,
197,0.293,0.059,0.142,0.392,0.312,
198,0.3,0.046,0.138,0.403,0.312,
199,0.293,0.062,0.128,0.402,0.317,
200,0.303,0.06,0.132,0.406,0.314,
201,0.294,0.064,0.142,0.407,0.316,
202,0.286,0.073,0.138,0.415,0.32,
203,0.3,0.055,0.142,0.419,0.32,
204,0.298,0.065,0.123,0.42,0.333,
205,0.309,0.054,0.128,0.422,0.336,
206,0.305,0.054,0.126,0.437,0.335,
207,0.294,0.057,0.123,0.45,0.339,
208,0.291,0.075,0.109,0.451,0.345,
209,0.268,0.08,0.13,0.457,0.347,
210,0.271,0.09,0.124,0.459,0.346,
211,0.266,0.099,0.122,0.463,0.35,
212,0.262,0.102,0.104,0.472,0.368,
213,0.269,0.104,0.097,0.474,0.369,
214,0.268,0.114,0.107,0.463,0.368,
215,0.275,0.111,0.109,0.467,0.367,
216,0.249,0.139,0.112,0.469,0.367,
217,0.241,0.142,0.11,0.476,0.374,
218,0.236,0.144,0.112,0.475,0.385,
219,0.227,0.163,0.112,0.468,0.388,
220,0.227,0.203,0.114,0.468,0.348,
221,0.205,0.231,0.115,0.468,0.349,
222,0.192,0.241,0.117,0.473,0.348,
223,0.185,0.247,0.115,0.481,0.349,
224,0.178,0.245,0.121,0.498,0.352,
225,0.172,0.241,0.122,0.503,0.365,
226,0.166,0.255,0.111,0.506,0.367,
227,0.16,0.25,0.119,0.508,0.37,
228,0.163,0.248,0.127,0.509,0.372,
229,0.146,0.25,0.136,0.509,0.382,
230,0.132,0.254,0.13,0.512,0.4,
231,0.128,0.258,0.121,0.51,0.416,
232,0.134,0.261,0.122,0.513,0.409,
233,0.162,0.233,0.122,0.533,0.389,
234,0.161,0.23,0.119,0.542,0.396,
235,0.16,0.229,0.095,0.563,0.403,
236,0.16,0.261,0.063,0.571,0.398,
237,0.166,0.27,0.049,0.578,0.398,
238,0.154,0.282,0.048,0.553,0.426,
239,0.166,0.286,0.046,0.566,0.402,
240,0.17,0.287,0.043,0.58,0.398,
241,0.171,0.294,0.037,0.598,0.382,
242,0.164,0.306,0.031,0.602,0.388,
243,0.167,0.306,0.01,0.615,0.398,
244,0.167,0.306,0.011,0.648,0.364,
245,0.172,0.306,0.011,0.66,0.358,
246,0.178,0.304,0.016,0.669,0.347,
247,0.165,0.299,0.02,0.672,0.36,
248,0.141,0.291,0.02,0.687,0.381,
249,0.147,0.296,0.021,0.693,0.371,
250,0.147,0.296,0.008,0.707,0.369,
251,0.133,0.308,0.01,0.73,0.346,
252,0.123,0.326,0.009,0.738,0.334,
253,0.115,0.335,0.014,0.744,0.335,
254,0.117,0.338,0.016,0.756,0.327,
255,0.111,0.339,0.018,0.78,0.316,
256,0.111,0.345,-0.002,0.794,0.316,
257,0.123,0.343,-0.001,0.801,0.306,
258,0.125,0.345,0.003,0.82,0.294,
259,0.125,0.353,0.002,0.819,0.296,
260,0.123,0.352,0.011,0.823,0.289,
261,0.118,0.352,0.015,0.824,0.293,
262,0.116,0.354,0.007,0.839,0.293,
263,0.113,0.353,0.022,0.841,0.289,
264,0.112,0.356,0.028,0.851,0.277,
265,0.108,0.359,0.034,0.861,0.272,
266,0.097,0.37,0.04,0.865,0.27,
267,0.072,0.394,0.043,0.865,0.275,
268,0.058,0.413,0.047,0.867,0.269,
269,0.068,0.406,0.046,0.868,0.278,
270,0.067,0.404,0.047,0.879,0.277,
271,0.067,0.406,0.032,0.88,0.294,
272,0.063,0.411,0.029,0.886,0.302,
273,0.069,0.41,0.033,0.886,0.3,
274,0.065,0.41,0.028,0.886,0.319,
275,0.06,0.412,0.027,0.883,0.327,
276,0.07,0.418,0.026,0.882,0.316,
277,0.039,0.462,0.027,0.882,0.304,
278,0.033,0.463,0.025,0.882,0.316,
279,0.031,0.465,-0.009,0.882,0.349,
280,0.028,0.464,-0.022,0.881,0.367,
281,0.005,0.489,-0.027,0.885,0.373,
282,0.004,0.488,-0.047,0.882,0.398,
283,-0.009,0.499,-0.052,0.887,0.402,
284,-0.014,0.519,-0.052,0.873,0.411,
285,-0.028,0.553,-0.055,0.86,0.411,
286,-0.03,0.557,-0.069,0.881,0.411,
287,-0.03,0.551,-0.066,0.891,0.413,
288,-0.018,0.551,-0.068,0.891,0.41,
289,-0.032,0.567,-0.071,0.892,0.418,
290,-0.049,0.583,-0.057,0.883,0.417,
291,-0.052,0.585,-0.057,0.887,0.423,
292,-0.06,0.595,-0.062,0.879,0.438,
293,-0.059,0.596,-0.063,0.879,0.446,
294,-0.052,0.596,-0.061,0.874,0.45,
295,-0.046,0.602,-0.068,0.876,0.456,
296,-0.044,0.6,-0.09,0.884,0.475,
297,-0.058,0.602,-0.096,0.886,0.495,
298,-0.062,0.615,-0.114,0.883,0.508,
299,-0.068,0.618,-0.125,0.885,0.524,
300,-0.076,0.635,-0.127,0.889,0.521,
301,-0.073,0.634,-0.154,0.889,0.546,
302,-0.073,0.634,-0.19,0.889,0.582,
303,-0.085,0.644,-0.214,0.897,0.602,
304,-0.087,0.649,-0.21,0.89,0.605,
305,-0.086,0.639,-0.205,0.895,0.609,
306,-0.078,0.636,-0.221,0.893,0.622,
307,-0.083,0.646,-0.225,0.897,0.628,
308,-0.096,0.658,-0.225,0.899,0.635,
309,-0.104,0.666,-0.231,0.9,0.649,
310,-0.111,0.671,-0.231,0.905,0.654,
311,-0.116,0.693,-0.249,0.908,0.654,
312,-0.118,0.689,-0.281,0.908,0.694,
313,-0.125,0.695,-0.288,0.914,0.699,
314,-0.128,0.693,-0.294,0.92,0.713,
315,-0.132,0.697,-0.295,0.926,0.717,
316,-0.138,0.697,-0.302,0.924,0.734,
317,-0.145,0.703,-0.301,0.927,0.737,
318,-0.141,0.703,-0.322,0.927,0.763,
319,-0.141,0.715,-0.329,0.921,0.77,
320,-0.128,0.714,-0.339,0.921,0.773,
321,-0.113,0.72,-0.331,0.914,0.759,
322,-0.115,0.733,-0.336,0.915,0.763,
323,-0.114,0.731,-0.34,0.924,0.76,
324,-0.117,0.733,-0.321,0.93,0.752,
325,-0.135,0.765,-0.32,0.918,0.752,
326,-0.143,0.765,-0.318,0.923,0.756,
327,-0.157,0.783,-0.318,0.924,0.752,
328,-0.164,0.793,-0.33,0.924,0.768,
329,-0.165,0.791,-0.308,0.911,0.764,
330,-0.16,0.788,-0.309,0.911,0.774,
331,-0.161,0.788,-0.309,0.91,0.78,
332,-0.163,0.788,-0.321,0.921,0.789,
333,-0.164,0.793,-0.329,0.929,0.789,
334,-0.174,0.792,-0.315,0.929,0.795,
335,-0.178,0.798,-0.324,0.933,0.805,
336,-0.184,0.804,-0.326,0.939,0.809,
337,-0.187,0.822,-0.333,0.941,0.809,
338,-0.188,0.839,-0.336,0.93,0.81,
339,-0.186,0.841,-0.328,0.929,0.809,
340,-0.202,0.842,-0.33,0.935,0.825,
341,-0.195,0.855,-0.33,0.924,0.823,
342,-0.199,0.855,-0.309,0.913,0.821,
343,-0.201,0.854,-0.311,0.924,0.817,
344,-0.204,0.859,-0.315,0.929,0.823,
345,-0.227,0.857,-0.322,0.955,0.83,
346,-0.24,0.881,-0.325,0.951,0.829,
347,-0.255,0.885,-0.314,0.953,0.834,
348,-0.26,0.885,-0.303,0.952,0.834,
349,-0.262,0.886,-0.303,0.957,0.834,
350,-0.265,0.903,-0.303,0.94,0.836,
351,-0.261,0.903,-0.297,0.938,0.841,
352,-0.285,0.926,-0.29,0.933,0.84,
353,-0.286,0.936,-0.29,0.932,0.844,
354,-0.319,0.97,-0.291,0.934,0.844,
355,-0.313,0.971,-0.291,0.943,0.833,
356,-0.314,0.978,-0.303,0.943,0.842,
357,-0.308,0.982,-0.311,0.936,0.853,
358,-0.309,0.988,-0.305,0.938,0.844,
359,-0.308,0.98,-0.283,0.93,0.838,
360,-0.316,0.979,-0.282,0.938,0.842,
361,-0.314,0.981,-0.276,0.94,0.841,
362,-0.334,1.004,-0.279,0.94,0.845,
363,-0.324,1.01,-0.301,0.942,0.855,
364,-0.332,1.024,-0.3,0.943,0.855,
