9413499
Day,Computer Science,Biology,Astrophysics,Visual Arts,Marketing
1,0.004,0,0,-0.008,0.008,
2,0.004,0.006,0.003,-0.01,0.013,
3,0.004,0.025,0.003,-0.011,-0.002,
4,0.009,0.039,0.002,-0.018,-0.004,
5,0.01,0.047,0.003,-0.037,0.012,
6,0.007,0.054,0.003,-0.04,0.017,
7,0.006,0.062,0.004,-0.054,0.031,
8,0.003,0.059,0.02,-0.055,0.024,
9,0.003,0.07,0.022,-0.054,0.017,
10,0.003,0.089,0.026,-0.05,-0.005,
11,0.009,0.109,0.027,-0.054,-0.024,
12,0.01,0.115,0.026,-0.069,-0.007,
13,0.009,0.121,0.028,-0.1,0.019,
14,0.009,0.121,0.027,-0.142,0.063,
15,0,0.12,0.038,-0.146,0.073,
16,-0.004,0.134,0.044,-0.132,0.049,
17,0.01,0.134,0.044,-0.159,0.064,
18,0.024,0.162,0.044,-0.157,0.024,
19,0.022,0.17,0.044,-0.15,0.025,
20,0.022,0.176,0.045,-0.148,0.026,
21,0.037,0.186,0.041,-0.158,0.018,
22,0.037,0.191,0.037,-0.12,-0.016,
23,0.036,0.191,0.036,-0.1,-0.03,
24,0.032,0.202,0.038,-0.093,-0.037,
25,0.03,0.204,0.037,-0.105,-0.018,
26,0.03,0.211,0.033,-0.085,-0.036,
27,0.031,0.231,0.013,-0.079,-0.042,
28,0.031,0.231,0.011,-0.099,-0.016,
29,0.049,0.229,0.01,-0.103,-0.024,
30,0.046,0.239,0.01,-0.098,-0.024,
31,0.044,0.252,0.01,-0.083,-0.037,
32,0.045,0.261,0.012,-0.086,-0.035,
33,0.047,0.273,0.011,-0.111,-0.023,
34,0.047,0.266,0.013,-0.101,-0.023,
35,0.04,0.263,0.011,-0.078,-0.03,
36,0.044,0.266,0.005,-0.076,-0.031,
37,0.045,0.266,0.009,-0.063,-0.042,
38,0.041,0.276,0.006,-0.062,-0.039,
39,0.051,0.281,0.005,-0.051,-0.051,
40,0.036,0.296,0.007,-0.043,-0.059,
41,0.036,0.3,0.017,-0.053,-0.052,
42,0.041,0.293,0.019,-0.052,-0.041,
43,0.041,0.279,0.013,-0.036,-0.037,
44,0.042,0.281,0.018,-0.035,-0.037,
45,0.037,0.287,0.046,-0.036,-0.063,
46,0.013,0.298,0.066,-0.037,-0.064,
47,0.005,0.3,0.083,-0.039,-0.066,
48,0.007,0.299,0.096,-0.037,-0.071,
49,0.004,0.3,0.103,-0.035,-0.073,
50,0.003,0.301,0.138,-0.034,-0.107,
51,0.003,0.298,0.144,-0.02,-0.118,
52,0,0.296,0.155,-0.014,-0.123,
53,0,0.3,0.159,-0.012,-0.126,
54,0.001,0.306,0.156,-0.017,-0.117,
55,0.001,0.315,0.146,-0.023,-0.108,
56,0,0.319,0.158,-0.02,-0.115,
57,0.002,0.329,0.157,-0.026,-0.107,
58,-0.014,0.321,0.169,-0.024,-0.09,
59,-0.003,0.304,0.184,-0.028,-0.093,
60,-0.005,0.305,0.188,-0.028,-0.087,
61,-0.005,0.299,0.186,-0.021,-0.079,
62,-0.009,0.302,0.195,-0.022,-0.079,
63,-0.009,0.308,0.202,-0.029,-0.079,
64,-0.01,0.313,0.195,-0.029,-0.073,
65,-0.009,0.307,0.199,-0.031,-0.065,
66,-0.01,0.291,0.201,-0.026,-0.049,
67,-0.011,0.295,0.221,-0.025,-0.071,
68,-0.011,0.293,0.229,-0.01,-0.085,
69,-0.005,0.288,0.231,-0.006,-0.086,
70,0,0.305,0.219,-0.012,-0.088,
71,0.009,0.311,0.217,-0.016,-0.085,
72,0.012,0.319,0.221,-0.013,-0.097,
73,0.013,0.316,0.221,-0.011,-0.093,
74,0.021,0.316,0.229,-0.012,-0.1,
75,0.019,0.328,0.229,-0.016,-0.1,
76,0.017,0.33,0.237,-0.017,-0.099,
77,0.003,0.348,0.229,-0.012,-0.095,
78,-0.003,0.35,0.239,-0.012,-0.094,
79,-0.003,0.357,0.246,-0.016,-0.095,
80,-0.012,0.369,0.248,-0.016,-0.1,
81,-0.021,0.375,0.252,-0.014,-0.1,
82,-0.029,0.383,0.262,-0.025,-0.096,
83,-0.03,0.384,0.262,-0.039,-0.077,
84,-0.038,0.388,0.262,-0.049,-0.06,
85,-0.04,0.405,0.256,-0.051,-0.064,
86,-0.048,0.405,0.253,-0.037,-0.064,
87,-0.056,0.417,0.259,-0.038,-0.064,
88,-0.06,0.427,0.257,-0.038,-0.065,
89,-0.061,0.428,0.259,-0.026,-0.076,
90,-0.071,0.433,0.263,-0.022,-0.071,
91,-0.073,0.436,0.263,-0.022,-0.07,
92,-0.075,0.445,0.263,-0.025,-0.063,
93,-0.073,0.447,0.263,-0.03,-0.052,
94,-0.081,0.459,0.261,-0.03,-0.048,
95,-0.055,0.458,0.259,-0.049,-0.049,
96,-0.031,0.438,0.255,-0.044,-0.051,
97,-0.034,0.435,0.264,-0.044,-0.048,
98,-0.027,0.43,0.261,-0.038,-0.044,
99,-0.033,0.427,0.264,-0.038,-0.03,
100,-0.031,0.429,0.273,-0.037,-0.029,
101,-0.022,0.426,0.273,-0.034,-0.03,
102,-0.01,0.422,0.268,-0.026,-0.036,
103,-0.008,0.423,0.268,-0.029,-0.021,
104,0.003,0.426,0.27,-0.028,-0.032,
105,0.012,0.423,0.267,-0.028,-0.031,
106,0.028,0.405,0.269,-0.026,-0.028,
107,0.025,0.417,0.27,-0.024,-0.027,
108,0.036,0.411,0.269,-0.023,-0.018,
109,0.051,0.416,0.268,-0.029,-0.018,
110,0.043,0.426,0.27,-0.032,-0.017,
111,0.064,0.401,0.267,-0.02,-0.017,
112,0.056,0.402,0.267,-0.008,-0.018,
113,0.058,0.393,0.268,0.007,-0.022,
114,0.082,0.367,0.266,0.006,-0.014,
115,0.068,0.368,0.266,0.012,-0.004,
116,0.065,0.364,0.26,0.022,0.006,
117,0.075,0.362,0.25,0.017,0.013,
118,0.05,0.361,0.254,0.041,0.013,
119,0.051,0.348,0.26,0.049,0.019,
120,0.045,0.351,0.265,0.049,0.023,
121,0.041,0.351,0.247,0.057,0.043,
122,0.048,0.357,0.242,0.055,0.045,
123,0.049,0.344,0.242,0.071,0.047,
124,0.055,0.333,0.241,0.073,0.056,
125,0.071,0.315,0.247,0.069,0.061,
126,0.044,0.31,0.259,0.081,0.073,
127,0.052,0.3,0.248,0.091,0.081,
128,0.058,0.298,0.243,0.095,0.085,
129,0.064,0.303,0.243,0.09,0.083,
130,0.085,0.292,0.234,0.089,0.087,
131,0.083,0.302,0.229,0.09,0.088,
132,0.092,0.291,0.227,0.103,0.081,
133,0.101,0.289,0.205,0.102,0.103,
134,0.114,0.282,0.203,0.107,0.104,
135,0.124,0.28,0.203,0.106,0.102,
136,0.144,0.261,0.203,0.107,0.105,
137,0.149,0.255,0.211,0.108,0.105,
138,0.143,0.263,0.203,0.114,0.108,
139,0.164,0.243,0.203,0.118,0.109,
140,0.176,0.233,0.199,0.119,0.122,
141,0.178,0.24,0.195,0.123,0.126,
142,0.179,0.24,0.183,0.141,0.129,
143,0.171,0.252,0.182,0.142,0.135,
144,0.171,0.248,0.192,0.146,0.133,
145,0.176,0.239,0.201,0.145,0.134,
146,0.171,0.242,0.212,0.137,0.135,
147,0.181,0.236,0.208,0.136,0.142,
148,0.187,0.239,0.208,0.138,0.145,
149,0.209,0.23,0.201,0.144,0.138,
150,0.216,0.231,0.198,0.14,0.14,
151,0.227,0.219,0.198,0.135,0.152,
152,0.225,0.22,0.197,0.14,0.156,
153,0.22,0.211,0.193,0.161,0.156,
154,0.21,0.211,0.177,0.174,0.173,
155,0.226,0.206,0.165,0.184,0.17,
156,0.233,0.197,0.171,0.184,0.174,
157,0.239,0.205,0.172,0.18,0.167,
158,0.243,0.204,0.161,0.178,0.183,
159,0.24,0.217,0.154,0.172,0.187,
160,0.242,0.224,0.155,0.17,0.185,
161,0.248,0.223,0.151,0.17,0.193,
162,0.238,0.221,0.155,0.182,0.197,
163,0.24,0.219,0.157,0.185,0.199,
164,0.244,0.213,0.155,0.193,0.201,
165,0.249,0.215,0.158,0.185,0.209,
166,0.262,0.206,0.158,0.186,0.212,
167,0.263,0.201,0.16,0.192,0.214,
168,0.268,0.196,0.165,0.192,0.22,
169,0.264,0.189,0.143,0.204,0.242,
170,0.238,0.191,0.142,0.231,0.241,
171,0.214,0.191,0.142,0.253,0.243,
172,0.22,0.191,0.143,0.253,0.242,
