3333744
Day,Computer Science,Biology,Astrophysics,Visual Arts,Marketing
127,0.637,0.076,-0.149,0.164,-0.041,
128,0.629,0.077,-0.142,0.16,-0.036,
129,0.636,0.078,-0.142,0.161,-0.034,
130,0.642,0.079,-0.139,0.161,-0.028,
131,0.643,0.079,-0.141,0.167,-0.027,
132,0.646,0.09,-0.142,0.167,-0.031,
133,0.649,0.09,-0.143,0.166,-0.022,
134,0.645,0.089,-0.131,0.145,-0.007,
135,0.639,0.088,-0.133,0.152,0,
136,0.637,0.09,-0.15,0.152,0.018,
137,0.623,0.09,-0.131,0.148,0.018,
138,0.624,0.086,-0.127,0.148,0.022,
139,0.627,0.083,-0.148,0.175,0.021,
140,0.616,0.099,-0.147,0.175,0.018,
141,0.616,0.105,-0.13,0.163,0.011,
142,0.622,0.107,-0.124,0.163,0.008,
143,0.636,0.119,-0.133,0.151,0.008,
144,0.652,0.116,-0.128,0.148,0.009,
145,0.651,0.104,-0.125,0.16,0.011,
146,0.669,0.099,-0.127,0.162,0.012,
147,0.667,0.093,-0.115,0.162,0.013,
148,0.655,0.094,-0.111,0.164,0.024,
149,0.66,0.098,-0.111,0.161,0.023,
150,0.662,0.096,-0.113,0.144,0.042,
151,0.674,0.082,-0.106,0.133,0.052,
152,0.698,0.074,-0.121,0.128,0.059,
153,0.697,0.063,-0.117,0.129,0.075,
154,0.696,0.042,-0.118,0.126,0.1,
155,0.696,0.038,-0.105,0.125,0.101,
156,0.71,0.034,-0.104,0.122,0.097,
157,0.703,0.032,-0.101,0.134,0.098,
158,0.71,0.04,-0.096,0.132,0.086,
159,0.704,0.05,-0.091,0.132,0.084,
160,0.699,0.052,-0.087,0.13,0.089,
161,0.702,0.046,-0.091,0.139,0.094,
162,0.702,0.034,-0.085,0.137,0.106,
163,0.702,0.034,-0.084,0.138,0.109,
164,0.708,0.036,-0.088,0.145,0.106,
165,0.717,0.04,-0.083,0.143,0.098,
166,0.71,0.048,-0.066,0.137,0.091,
167,0.702,0.048,-0.061,0.137,0.101,
168,0.704,0.049,-0.058,0.137,0.103,
169,0.705,0.05,-0.052,0.137,0.107,
170,0.709,0.05,-0.057,0.139,0.112,
171,0.697,0.039,-0.041,0.139,0.128,
172,0.701,0.038,-0.037,0.139,0.13,
173,0.716,0.038,-0.047,0.138,0.132,
174,0.731,0.038,-0.049,0.135,0.131,
175,0.735,0.035,-0.039,0.125,0.144,
176,0.741,0.035,-0.034,0.126,0.143,
177,0.741,0.054,-0.037,0.119,0.138,
178,0.741,0.054,-0.034,0.098,0.16,
179,0.742,0.053,-0.035,0.098,0.16,
180,0.749,0.053,-0.032,0.097,0.162,
181,0.742,0.052,-0.015,0.103,0.155,
182,0.737,0.04,-0.017,0.116,0.161,
183,0.734,0.054,-0.019,0.114,0.159,
184,0.738,0.046,-0.018,0.116,0.164,
185,0.749,0.045,-0.022,0.119,0.162,
186,0.756,0.054,-0.028,0.109,0.166,
187,0.754,0.065,-0.029,0.106,0.165,
188,0.758,0.073,-0.028,0.105,0.163,
189,0.769,0.075,-0.027,0.105,0.164,
190,0.771,0.074,-0.026,0.103,0.166,
191,0.79,0.07,-0.029,0.102,0.164,
192,0.793,0.048,-0.025,0.103,0.186,
193,0.809,0.052,-0.04,0.101,0.184,
194,0.812,0.045,-0.021,0.105,0.167,
195,0.814,0.032,-0.013,0.105,0.171,
196,0.829,0.021,-0.006,0.103,0.171,
197,0.834,0.021,-0.004,0.103,0.17,
198,0.82,0.023,0,0.123,0.164,
199,0.807,0.005,0.003,0.146,0.172,
200,0.808,0.005,0.006,0.146,0.171,
201,0.811,0.007,0.007,0.133,0.182,
202,0.81,0.006,0.008,0.14,0.182,
203,0.806,0.009,0.006,0.145,0.187,
204,0.811,0,0.011,0.137,0.198,
205,0.813,0.001,0.012,0.143,0.198,
206,0.821,0.003,0.002,0.148,0.198,
207,0.82,0.006,-0.004,0.156,0.197,
208,0.83,0.007,-0.006,0.152,0.196,
209,0.83,0.009,-0.006,0.152,0.196,
210,0.831,0.01,-0.003,0.169,0.18,
211,0.833,0.009,-0.001,0.171,0.181,
212,0.821,0.012,0.009,0.177,0.181,
213,0.812,0.031,-0.01,0.185,0.187,
214,0.818,0.031,-0.011,0.184,0.185,
215,0.803,0.024,-0.003,0.195,0.188,
216,0.819,0.004,0.001,0.188,0.196,
217,0.821,0.004,0.003,0.188,0.2,
218,0.811,0.006,0.006,0.199,0.2,
219,0.818,0.008,0.003,0.199,0.193,
220,0.812,0.01,0.009,0.206,0.188,
221,0.813,0.015,0.006,0.206,0.191,
222,0.804,0.015,-0.002,0.218,0.201,
