7437012
Day,Computer Science,Biology,Astrophysics,Visual Arts,Marketing
127,-0.126,0.28,0.536,-0.086,0.136,
128,-0.123,0.288,0.536,-0.086,0.133,
129,-0.121,0.286,0.528,-0.072,0.132,
130,-0.12,0.286,0.535,-0.059,0.121,
131,-0.117,0.278,0.545,-0.055,0.12,
132,-0.106,0.276,0.545,-0.062,0.126,
133,-0.11,0.275,0.551,-0.059,0.128,
134,-0.108,0.281,0.545,-0.054,0.128,
135,-0.105,0.284,0.53,-0.036,0.124,
136,-0.107,0.284,0.492,0.006,0.124,
137,-0.103,0.288,0.492,0.009,0.124,
138,-0.103,0.29,0.494,0.014,0.121,
139,-0.098,0.298,0.501,0.018,0.105,
140,-0.089,0.302,0.495,0.011,0.106,
141,-0.093,0.301,0.496,0.015,0.109,
142,-0.089,0.302,0.495,0.022,0.109,
143,-0.09,0.303,0.491,0.023,0.118,
144,-0.091,0.315,0.485,0.022,0.118,
145,-0.103,0.314,0.496,0.029,0.114,
146,-0.113,0.314,0.496,0.038,0.119,
147,-0.105,0.314,0.493,0.043,0.12,
148,-0.1,0.314,0.493,0.046,0.117,
149,-0.101,0.319,0.487,0.046,0.124,
150,-0.097,0.321,0.485,0.049,0.124,
151,-0.093,0.318,0.492,0.051,0.123,
152,-0.091,0.325,0.493,0.047,0.125,
153,-0.075,0.325,0.492,0.04,0.125,
154,-0.067,0.323,0.474,0.058,0.127,
155,-0.068,0.323,0.469,0.068,0.126,
156,-0.079,0.32,0.464,0.091,0.128,
157,-0.077,0.32,0.454,0.1,0.13,
158,-0.077,0.322,0.437,0.12,0.13,
159,-0.069,0.322,0.43,0.126,0.13,
160,-0.071,0.318,0.43,0.133,0.129,
161,-0.088,0.359,0.429,0.116,0.125,
162,-0.083,0.375,0.429,0.107,0.125,
163,-0.063,0.366,0.429,0.105,0.127,
164,-0.06,0.365,0.434,0.103,0.131,
165,-0.04,0.358,0.435,0.106,0.123,
166,-0.039,0.396,0.397,0.106,0.123,
167,-0.03,0.397,0.383,0.124,0.113,
168,-0.008,0.374,0.382,0.127,0.116,
169,-0.006,0.377,0.37,0.139,0.115,
170,0.001,0.385,0.372,0.139,0.103,
171,0.001,0.39,0.347,0.151,0.114,
172,0.009,0.373,0.348,0.158,0.119,
173,0.021,0.371,0.354,0.157,0.118,
174,0.036,0.368,0.356,0.163,0.109,
175,0.039,0.342,0.357,0.187,0.111,
176,0.038,0.334,0.353,0.182,0.129,
177,0.042,0.338,0.348,0.195,0.124,
178,0.049,0.346,0.354,0.198,0.113,
179,0.04,0.331,0.38,0.198,0.111,
180,0.047,0.324,0.394,0.19,0.109,
181,0.05,0.321,0.386,0.203,0.11,
182,0.061,0.311,0.375,0.208,0.121,
183,0.058,0.308,0.381,0.219,0.118,
184,0.059,0.318,0.368,0.227,0.114,
185,0.08,0.315,0.366,0.235,0.095,
186,0.089,0.318,0.357,0.247,0.085,
187,0.108,0.326,0.34,0.247,0.084,
188,0.112,0.327,0.317,0.264,0.095,
189,0.121,0.314,0.316,0.26,0.11,
190,0.134,0.309,0.311,0.261,0.112,
191,0.143,0.308,0.309,0.259,0.116,
192,0.162,0.288,0.308,0.254,0.125,
193,0.165,0.313,0.308,0.231,0.13,
194,0.172,0.303,0.301,0.246,0.133,
195,0.167,0.288,0.298,0.247,0.157,
196,0.167,0.294,0.285,0.272,0.146,
197,0.171,0.293,0.263,0.309,0.129,
198,0.152,0.293,0.261,0.331,0.135,
199,0.157,0.291,0.242,0.352,0.138,
200,0.149,0.3,0.238,0.357,0.14,
201,0.147,0.298,0.228,0.374,0.144,
202,0.143,0.289,0.223,0.397,0.144,
203,0.145,0.29,0.22,0.402,0.148,
204,0.147,0.29,0.218,0.413,0.147,
205,0.149,0.273,0.21,0.443,0.149,
206,0.149,0.309,0.211,0.445,0.113,
207,0.148,0.31,0.211,0.437,0.133,
208,0.15,0.31,0.187,0.457,0.142,
209,0.145,0.306,0.187,0.468,0.144,
210,0.136,0.306,0.155,0.51,0.145,
211,0.134,0.312,0.148,0.519,0.143,
212,0.119,0.308,0.161,0.522,0.15,
213,0.116,0.309,0.168,0.521,0.149,
214,0.116,0.303,0.163,0.536,0.152,
215,0.089,0.299,0.16,0.573,0.154,
216,0.091,0.298,0.146,0.583,0.164,
217,0.086,0.295,0.15,0.595,0.163,
218,0.087,0.31,0.144,0.6,0.153,
219,0.1,0.312,0.138,0.61,0.146,
220,0.106,0.31,0.12,0.629,0.146,
221,0.114,0.308,0.127,0.627,0.145,
222,0.111,0.29,0.125,0.635,0.163,
223,0.115,0.284,0.123,0.641,0.161,
224,0.119,0.282,0.122,0.641,0.167,
225,0.121,0.279,0.12,0.651,0.167,
226,0.121,0.277,0.115,0.669,0.161,
227,0.105,0.282,0.121,0.683,0.153,
228,0.108,0.28,0.116,0.694,0.151,
229,0.108,0.29,0.111,0.707,0.142,
230,0.111,0.285,0.11,0.718,0.146,
231,0.111,0.287,0.076,0.749,0.148,
232,0.117,0.295,0.074,0.751,0.14,
233,0.118,0.294,0.075,0.744,0.154,
234,0.135,0.294,0.071,0.741,0.148,
235,0.134,0.309,0.073,0.744,0.138,
236,0.132,0.321,0.067,0.757,0.124,
237,0.139,0.334,0.065,0.744,0.119,
238,0.143,0.333,0.054,0.756,0.118,
239,0.143,0.345,0.037,0.768,0.114,
240,0.159,0.342,0.028,0.769,0.111,
241,0.158,0.34,0.021,0.786,0.111,
242,0.158,0.372,0.02,0.792,0.075,
243,0.16,0.382,0.015,0.802,0.07,
244,0.157,0.39,0.015,0.803,0.067,
245,0.157,0.414,0.007,0.801,0.056,
246,0.163,0.419,0.008,0.8,0.051,
247,0.157,0.418,0.009,0.811,0.052,
248,0.157,0.443,0.013,0.814,0.026,
249,0.169,0.441,0.012,0.813,0.025,
250,0.183,0.441,0.013,0.801,0.024,
251,0.183,0.449,0.014,0.807,0.015,
252,0.172,0.454,0.015,0.82,0.017,
253,0.163,0.461,0.035,0.812,0.012,
254,0.16,0.471,0.035,0.812,0.008,
255,0.143,0.484,0.038,0.827,-0.004,
256,0.149,0.502,0.032,0.815,-0.006,
257,0.152,0.507,0.035,0.813,-0.006,
258,0.148,0.516,0.036,0.823,-0.013,
259,0.137,0.521,0.03,0.835,-0.007,
260,0.136,0.525,0.031,0.843,-0.009,
261,0.133,0.539,0.034,0.846,-0.019,
262,0.128,0.547,0.027,0.858,-0.018,
263,0.118,0.551,0.026,0.872,-0.014,
264,0.109,0.549,0.033,0.883,-0.011,
265,0.114,0.539,0.03,0.888,-0.006,
266,0.11,0.54,0.035,0.892,-0.009,
267,0.124,0.547,0.035,0.881,-0.011,
268,0.136,0.558,0.036,0.872,-0.024,
269,0.128,0.558,0.018,0.88,0,
270,0.126,0.582,0.024,0.885,-0.027,
271,0.121,0.59,0.024,0.897,-0.036,
272,0.125,0.606,0.026,0.897,-0.051,
273,0.129,0.615,0.032,0.891,-0.059,
274,0.122,0.616,0.033,0.9,-0.057,
275,0.113,0.617,0.045,0.906,-0.058,
276,0.121,0.616,0.049,0.91,-0.068,
277,0.135,0.624,0.052,0.91,-0.085,
278,0.126,0.631,0.05,0.911,-0.078,
279,0.133,0.627,0.049,0.91,-0.073,
280,0.132,0.658,0.05,0.912,-0.103,
281,0.128,0.7,0.05,0.917,-0.145,
282,0.12,0.7,0.048,0.93,-0.139,
283,0.115,0.712,0.047,0.935,-0.144,
284,0.125,0.73,0.045,0.937,-0.167,
285,0.129,0.733,0.044,0.927,-0.157,
286,0.129,0.741,0.044,0.938,-0.166,
287,0.128,0.745,0.043,0.937,-0.162,
288,0.137,0.74,0.038,0.935,-0.157,
289,0.148,0.74,0.033,0.938,-0.162,
290,0.154,0.748,0.032,0.94,-0.165,
291,0.15,0.76,0.032,0.946,-0.168,
292,0.15,0.797,0.03,0.946,-0.199,
293,0.12,0.805,0.03,0.977,-0.204,
294,0.118,0.812,0.029,0.991,-0.212,
295,0.127,0.817,0.029,0.979,-0.207,
296,0.141,0.817,0.027,0.978,-0.21,
297,0.13,0.827,0.038,0.968,-0.208,
298,0.131,0.828,0.034,0.975,-0.208,
299,0.131,0.841,0.031,0.972,-0.216,
300,0.132,0.832,0.035,0.977,-0.214,
301,0.13,0.839,0.034,0.989,-0.219,
302,0.146,0.831,0.045,0.976,-0.223,
303,0.15,0.838,0.047,0.981,-0.229,
304,0.129,0.84,0.047,1.001,-0.227,
305,0.14,0.853,0.047,1.004,-0.243,
306,0.145,0.858,0.041,1.017,-0.255,
307,0.143,0.879,0.027,1.022,-0.26,
308,0.151,0.903,0.026,1.028,-0.298,
309,0.164,0.904,0.021,1.033,-0.303,
310,0.189,0.913,0.021,1.036,-0.339,
311,0.182,0.932,0.035,1.034,-0.362,
312,0.183,0.945,0.041,1.019,-0.359,
313,0.183,0.948,0.04,1.023,-0.358,
314,0.193,0.962,0.041,1.027,-0.383,
315,0.196,0.967,0.053,1.026,-0.396,
316,0.214,0.97,0.054,1.025,-0.411,
317,0.224,0.969,0.052,1.024,-0.41,
318,0.225,0.96,0.062,1.027,-0.413,
319,0.213,0.964,0.07,1.035,-0.415,
320,0.206,0.972,0.069,1.053,-0.426,
321,0.205,0.982,0.076,1.05,-0.431,
322,0.24,0.981,0.048,1.047,-0.432,
323,0.241,0.984,0.048,1.056,-0.439,
324,0.227,0.998,0.054,1.06,-0.443,
325,0.228,1.009,0.053,1.064,-0.448,
326,0.231,1.015,0.049,1.068,-0.453,
327,0.211,1.013,0.048,1.086,-0.445,
328,0.208,1.012,0.054,1.095,-0.448,
329,0.205,1.014,0.052,1.105,-0.453,
330,0.194,1.023,0.046,1.114,-0.45,
331,0.205,1.033,0.048,1.106,-0.458,
332,0.19,1.031,0.048,1.128,-0.459,
333,0.184,1.029,0.043,1.149,-0.464,
334,0.179,1.026,0.073,1.15,-0.484,
335,0.175,1.037,0.079,1.148,-0.49,
336,0.175,1.037,0.086,1.153,-0.496,
337,0.18,1.043,0.086,1.153,-0.498,
338,0.188,1.053,0.089,1.152,-0.507,
339,0.207,1.058,0.091,1.146,-0.517,
340,0.218,1.061,0.091,1.143,-0.519,
341,0.216,1.069,0.081,1.144,-0.507,
342,0.23,1.071,0.081,1.144,-0.515,
343,0.237,1.071,0.079,1.148,-0.52,
344,0.226,1.069,0.076,1.167,-0.522,
345,0.234,1.07,0.075,1.166,-0.523,
346,0.248,1.066,0.095,1.15,-0.536,
347,0.246,1.074,0.094,1.144,-0.524,
348,0.254,1.08,0.09,1.143,-0.53,
349,0.27,1.068,0.112,1.133,-0.546,
350,0.275,1.07,0.115,1.135,-0.545,
351,0.311,1.07,0.115,1.122,-0.564,
352,0.31,1.072,0.114,1.128,-0.568,
353,0.289,1.078,0.14,1.129,-0.575,
354,0.3,1.08,0.125,1.139,-0.574,
355,0.317,1.081,0.105,1.144,-0.573,
356,0.298,1.079,0.105,1.165,-0.57,
357,0.298,1.09,0.108,1.159,-0.571,
358,0.292,1.098,0.122,1.149,-0.571,
359,0.289,1.096,0.141,1.148,-0.575,
360,0.279,1.093,0.138,1.154,-0.558,
361,0.277,1.104,0.136,1.153,-0.559,
362,0.276,1.119,0.136,1.139,-0.551,
363,0.275,1.141,0.137,1.123,-0.55,
364,0.27,1.151,0.142,1.12,-0.545,
