3408613
Day,Computer Science,Biology,Astrophysics,Visual Arts,Marketing
1,-0.001,-0.005,-0.006,0.009,0.004,
2,0.001,0,-0.008,0.001,0.014,
3,0.012,0.007,-0.016,-0.004,0.015,
4,0.026,0.008,-0.018,-0.009,0.022,
5,0.033,0.003,-0.013,-0.015,0.025,
6,0.028,0.001,-0.015,-0.01,0.033,
7,0.044,0,-0.009,-0.011,0.02,
8,0.037,0.007,0.005,-0.03,0.029,
9,0.026,0.013,0.019,-0.045,0.044,
10,0.026,0.022,0.009,-0.054,0.058,
11,0.041,0.02,0.012,-0.047,0.039,
12,0.038,0.015,0.011,-0.054,0.056,
13,0.034,0.019,0.013,-0.072,0.075,
14,0.023,0.022,0.022,-0.071,0.077,
15,0.024,0.018,0.031,-0.069,0.073,
16,0.016,0.016,0.042,-0.089,0.093,
17,0.004,0.025,0.058,-0.098,0.092,
18,0,0.039,0.056,-0.096,0.088,
19,-0.014,0.045,0.071,-0.105,0.097,
20,-0.014,0.044,0.071,-0.123,0.12,
21,-0.024,0.033,0.083,-0.128,0.136,
22,-0.026,0.033,0.083,-0.126,0.143,
23,-0.021,0.032,0.085,-0.128,0.142,
24,-0.02,0.027,0.095,-0.126,0.142,
25,-0.03,0.025,0.097,-0.121,0.153,
26,-0.039,0.023,0.105,-0.122,0.167,
27,-0.043,0.027,0.099,-0.119,0.176,
28,-0.047,0.031,0.113,-0.113,0.165,
29,-0.045,0.03,0.114,-0.111,0.163,
30,-0.051,0.023,0.13,-0.107,0.162,
31,-0.051,0.028,0.125,-0.114,0.17,
32,-0.045,0.005,0.134,-0.113,0.182,
33,-0.07,0.009,0.15,-0.108,0.186,
34,-0.084,0.008,0.16,-0.103,0.193,
35,-0.097,0.008,0.179,-0.1,0.194,
36,-0.114,0.005,0.201,-0.1,0.194,
37,-0.122,-0.006,0.209,-0.09,0.196,
38,-0.123,-0.006,0.219,-0.095,0.196,
39,-0.116,-0.002,0.222,-0.097,0.19,
40,-0.118,0.003,0.228,-0.097,0.19,
41,-0.139,0.006,0.246,-0.094,0.19,
42,-0.159,0.015,0.256,-0.088,0.188,
43,-0.151,0.005,0.268,-0.095,0.186,
44,-0.149,0.009,0.267,-0.092,0.187,
45,-0.149,0.013,0.272,-0.094,0.187,
46,-0.149,0.013,0.272,-0.094,0.187,
47,-0.143,0.001,0.274,-0.083,0.186,
48,-0.141,-0.029,0.302,-0.097,0.2,
49,-0.121,-0.047,0.306,-0.098,0.204,
50,-0.116,-0.059,0.316,-0.092,0.204,
51,-0.116,-0.099,0.318,-0.092,0.244,
52,-0.11,-0.098,0.321,-0.077,0.228,
53,-0.072,-0.138,0.322,-0.074,0.226,
54,-0.063,-0.138,0.316,-0.076,0.229,
55,-0.063,-0.179,0.354,-0.072,0.229,
56,-0.05,-0.18,0.357,-0.066,0.212,
57,-0.023,-0.195,0.358,-0.068,0.205,
58,-0.025,-0.193,0.367,-0.066,0.209,
59,-0.042,-0.19,0.382,-0.06,0.209,
